accX,accY,accZ,gyroX,gyroY,gyroZ,label
4.64,9.58,1004.67,-280.0,70.0,0.0,waving
4.58,9.58,1004.67,-280.0,140.0,0.0,waving
4.58,9.52,1004.67,-280.0,140.0,70.0,waving
4.58,9.58,1004.67,-280.0,140.0,0.0,waving
4.58,9.58,1004.67,-280.0,70.0,0.0,waving
4.58,9.58,1004.73,-280.0,140.0,0.0,waving
4.58,9.58,1004.67,-280.0,140.0,0.0,waving
4.58,9.58,1004.67,-280.0,70.0,0.0,waving
4.58,9.58,1004.73,-280.0,140.0,0.0,waving
4.51,9.58,1004.67,-280.0,70.0,0.0,waving
4.51,9.58,1004.67,-280.0,70.0,0.0,waving
4.51,9.58,1004.67,-280.0,140.0,0.0,waving
4.51,9.58,1004.67,-280.0,70.0,0.0,waving
4.51,9.64,1004.67,-280.0,140.0,0.0,waving
4.51,9.58,1004.67,-280.0,140.0,70.0,waving
4.51,9.58,1004.67,-280.0,70.0,0.0,waving
4.51,9.64,1004.67,-280.0,140.0,0.0,waving
4.45,9.58,1004.67,-280.0,140.0,0.0,waving
4.51,9.58,1004.67,-280.0,70.0,0.0,waving
4.51,9.58,1004.67,-280.0,70.0,0.0,waving
4.51,9.58,1004.67,-280.0,140.0,70.0,waving
4.51,9.58,1004.67,-280.0,70.0,140.0,waving
4.58,9.58,1004.67,-280.0,70.0,700.0,waving
4.51,9.64,1004.67,-280.0,70.0,70.0,waving
4.51,9.58,1004.67,-280.0,70.0,70.0,waving
4.51,9.64,1004.67,-280.0,70.0,0.0,waving
4.51,9.58,1004.67,-280.0,70.0,70.0,waving
4.45,9.64,1004.67,-280.0,140.0,70.0,waving
4.51,9.64,1004.61,-280.0,140.0,70.0,waving
4.51,9.58,1004.61,-280.0,140.0,70.0,waving
4.51,9.64,1004.67,-280.0,140.0,70.0,waving
4.51,9.64,1004.67,-280.0,70.0,0.0,waving
4.51,9.58,1004.67,-280.0,70.0,70.0,waving
4.51,9.58,1004.67,-280.0,210.0,70.0,waving
4.51,9.58,1004.67,-280.0,70.0,420.0,waving
